Nose,Neck,Right_Shoulder,Right_Elbow,Right_Wrist,Left_Shoulder,Left_Elbow,Left_Wrist,Right_Hip,Right_Knee,Right_Ankle,Left_Hip,Left_Knee,Left_Ankle,Right_Eye,Left_Eye,Right_Ear,Left_Ear
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=458.4375)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=458.4375)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=458.4375)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=458.4375)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=458.4375)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=300.9375)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=458.4375)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=300.9375)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=300.9375)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=464.0625)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=458.4375)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=396.5625)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=300.9375)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=300.9375)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=300.9375)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=300.9375)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=300.9375)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=379.7802429199219, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=464.0625)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=441.67034912109375, y=357.1875)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=396.65936279296875, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=407.912109375, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=464.0625)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=464.0625)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=396.65936279296875, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=362.901123046875, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=391.0329895019531, y=464.0625)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=537.1875)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=396.65936279296875, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=267.1875)"
"Coordinate(x=402.2857360839844, y=267.1875)","Coordinate(x=407.912109375, y=306.5625)","Coordinate(x=374.15386962890625, y=300.9375)","Coordinate(x=368.5274963378906, y=357.1875)","Coordinate(x=362.901123046875, y=402.1875)","Coordinate(x=436.0439758300781, y=306.5625)","Coordinate(x=447.2967224121094, y=351.5625)","Coordinate(x=447.2967224121094, y=402.1875)","Coordinate(x=391.0329895019531, y=390.9375)","Coordinate(x=385.4066162109375, y=469.6875)","Coordinate(x=379.7802429199219, y=542.8125)","Coordinate(x=424.7912292480469, y=385.3125)","Coordinate(x=424.7912292480469, y=464.0625)","Coordinate(x=424.7912292480469, y=531.5625)","Coordinate(x=402.2857360839844, y=261.5625)","Coordinate(x=413.5384826660156, y=261.5625)","Coordinate(x=391.0329895019531, y=267.1875)","Coordinate(x=424.7912292480469, y=272.8125)"
